word,definition,part_of_speech,synonyms
isoform,any of two or more functionally similar proteins that have a similar but not identical amino acid sequence and are either encoded by different genes or by RNA transcripts from the same gene which have had different exons removed,noun,"['isoform', 'isoforms']"
autoplasty,the repairing of lesions with tissue from the same body,noun,"['autoplasticity', 'autoplasties', 'autoplasty']"
dioptrics,a branch of optics dealing with the refraction of light especially by lenses,"noun, plural in form but singular in construction",['dioptrics']
catadioptric,"belonging to, produced by, or involving both the reflection and the refraction of light",adjective,['catadioptric']
cathepsin,"any of a class of proteases present in most animal tissues (as in kidney, liver, and spleen) that catalyze the hydrolysis of proteins to polypeptides",noun,"['cathepsin', 'cathepsins', 'catheptic']"
catalepsy,a trancelike state of consciousness (as that occurring in catatonic schizophrenia) that is marked by a loss of voluntary motion and a fixed posture in which the limbs remain in whatever position they are placed,noun,"['catalepsies', 'catalepsy', 'cataleptic', 'cataleptically', 'cataleptics']"
cytopathic,"of, relating to, characterized by, or producing pathological changes in cells",adjective,['cytopathic']
bariatrics,a branch of medicine that deals with the treatment of obesity,"noun, plural in form but singular in construction",['bariatrics']
cytophotometry,photometry applied to the study of the cell or its constituents,noun,"['cytophotometric', 'cytophotometrically', 'cytophotometries', 'cytophotometry']"
catatonic,"of, relating to, marked by, or affected with catatonia",adjective,"['catatonic', 'catatonically', 'catatonics']"
dioptric,producing or serving in refraction of a beam of light : refractive; specifically : assisting vision by refracting and focusing light,adjective,"['dioptric', 'dioptrical', 'dioptrically']"
entoptic,lying or originating within the eyeball —used especially of visual sensations due to the shadows of retinal blood vessels or of opaque particles in the vitreous body falling upon the retina,adjective,['entoptic']
scatophagy,the practice of eating excrement or other filth especially as a pathological obsession,noun,"['scatophagies', 'scatophagy']"
cataplasia,reversion of cells or tissues to a more embryonic condition,noun,"['cataplasia', 'cataplasias', 'cataplastic']"
cataplexy,"a sudden loss of muscle control with retention of clear consciousness that follows a strong emotional stimulus (as elation, surprise, or anger) and is a characteristic symptom of narcolepsy",noun,"['cataplexies', 'cataplexy']"
pediatrics,"a branch of medicine dealing with the development, care, and diseases of infants, children, and adolescents","noun, plural in form but singular or plural in construction","['paediatrics', 'pediatrics']"
finger,any of the five terminating members of the hand : a digit of the forelimb; especially : one other than the thumb,noun,"['finger', 'fingerlike', 'fingers']"
monospecific,specific for a single antigen or receptor site on an antigen,adjective,"['monospecific', 'monospecificities', 'monospecificity']"
Kayser-Fleischer ring,a brown or greenish brown ring of copper deposits around the cornea that is characteristic of Wilson's disease,noun,"['Fleischer', 'Kayser', 'Kayser-Fleischer ring']"
fissure,a natural cleft between body parts or in the substance of an organ: as,noun,"['fissure', 'fissured', 'fissures']"
high,having a complex organization : greatly differentiated or developed phylogenetically —usually used in the comparative degree of advanced types of plants and animals,adjective,"['high', 'high on', 'higher', 'highest']"
Usher's syndrome,a genetic disease that is characterized by congenital deafness or progressive hearing loss during childhood and by retinitis pigmentosa and that is inherited chiefly as an autosomal recessive trait,noun,"['Usher', 'Usher syndrome', ""Usher's syndrome""]"
feldsher,a medical or surgical practitioner without full professional qualifications or status in some east European countries and especially Russia,noun,"['feldsher', 'feldshers']"
fetish,an object or bodily part whose real or fantasized presence is psychologically necessary for sexual gratification and that is an object of fixation to the extent that it may interfere with complete sexual expression,noun,"['fetich', 'fetiches', 'fetish', 'fetishes']"
feather,one of the light horny epidermal outgrowths that form the external covering of the body of birds and that consist of a shaft bearing on each side a series of barbs which bear barbules which in turn bear barbicels commonly ending in the hooked processes and interlocking with the barbules of an adjacent barb to link the barbs into a continuous vane,noun,"[""a feather in one's cap"", 'feather', 'feathered', 'featherless', 'feathers']"
dogfish,"any of various small sharks (as of the families Squalidae, Carcharhinidae, and Scyliorhinidae) that often appear in schools near shore, prey chiefly on fish and invertebrates, and are a valuable food source",noun,"['dogfish', 'dogfishes']"
varnish,any of various liquid preparations that when spread and allowed to dry on a surface form a hard lustrous typically transparent coating and that include some used in dentistry to line deep cavities in order to protect the pulp of a tooth,noun,"['varnish', 'varnished', 'varnisher', 'varnishers', 'varnishes', 'varnishing', 'varnishy']"
ether,a medium that in the wave theory of light permeates all space and transmits transverse waves,noun,"['aether', 'aethers', 'diethyl ether', 'ether', 'etheric', 'ethers', 'ethyl ether', 'ethyl oxide']"
fish oil,"a fatty oil that is obtained from oily fish (such as herring or menhaden), contains large amounts of unsaturated fatty acids, and is used as a dietary supplement and in making various products (such as protective coatings, cosmetics, and animal feed)",noun,"['fish oil', 'fish oils']"
Kocher's forceps,a strong forceps for controlling bleeding in surgery having serrated blades with interlocking teeth at the tips,noun,"['Kocher', ""Kocher's forceps""]"
monosome,a chromosome lacking a synaptic mate; especially : an unpaired X chromosome,noun,"['monosome', 'monosomes']"
microgamete,the smaller and usually male gamete of an organism producing two types of gametes,noun,"['microgamete', 'microgametes']"
microglia,"glia consisting of small cells with few processes that are scattered throughout the central nervous system, that are of mesodermal origin and are thought to be derived from fetal monocytes, and that have a phagocytic function as part of the mononuclear phagocyte system",noun,"['microglia', 'microglial', 'microglias']"
micrograph,a graphic reproduction (as a photograph) of the image of an object formed by a microscope,noun,"['micrograph', 'micrographed', 'micrographing', 'micrographs']"
microsome,any of various minute cellular structures (as a ribosome),noun,"['microsomal', 'microsome', 'microsomes']"
microbe,"microorganism, germ —used especially of pathogenic bacteria",noun,"['microbe', 'microbes', 'microbial', 'microbic']"
microzoa,microscopic animals and especially protozoans; also : microscopic animal life,noun plural,"['microzoa', 'microzoan']"
cherubism,a hereditary condition characterized by swelling of the jawbones and especially in young children by a characteristic facies marked by protuberant cheeks and upturned eyes,noun,['cherubism']
hyperimmunize,"to induce a high level of immunity or of circulating antibodies in (as by a long course of injections of antigen, repeated increasing doses of antigen, or the use of adjuvants along with the antigen)",transitive verb,"['hyperimmunise', 'hyperimmunised', 'hyperimmunising', 'hyperimmunize', 'hyperimmunized', 'hyperimmunizes', 'hyperimmunizing']"
Gnathobdellida,an order or other taxon of leeches comprising those lacking a proboscis and having 2-toothed or 3-toothed chitinous jaws (as the medicinal leech and the land leeches),noun plural,"['Gnathobdellida', 'gnathobdellid']"
agnathia,the congenital complete or partial absence of one or both jaws,noun,"['agnathia', 'agnathias']"
gnathion,the midpoint of the lower border of the human mandible,noun,"['gnathion', 'gnathions']"
pleurodynia,a sharp pain in the side usually located in the intercostal muscles and believed to arise from inflammation of fibrous tissue,noun,"['pleurodynia', 'pleurodynias']"
acrocyanosis,"blueness or pallor of the extremities usually associated with pain and numbness and caused by vasomotor disturbances (as in Raynaud's disease); specifically : a disorder of the arterioles of the exposed parts of the hands and feet involving abnormal contraction of the arteriolar walls intensified by exposure to cold and resulting in bluish mottled skin, chilling, and sweating of the affected parts",noun,"['acrocyanoses', 'acrocyanosis', 'acrocyanotic']"
electrosynthesis,synthesis accomplished with the aid of electricity; especially : synthesis of an organic compound by electrolysis,noun,"['electrosyntheses', 'electrosynthesis', 'electrosynthetic', 'electrosynthetically']"
acrosome,an anterior prolongation of a spermatozoon that releases egg-penetrating enzymes,noun,"['acrosomal', 'acrosome', 'acrosomes']"
psychosynthesis,a form of psychotherapy combining psychoanalytic techniques with meditation and exercise,noun,"['psychosyntheses', 'psychosynthesis']"
acrokeratosis,overgrowth of the horny outer layer of the stratum corneum chiefly of the hands and feet,noun,"['acrokeratoses', 'acrokeratosis', 'acrokeratosis paraneoplastica', 'acrokeratosis verruciformis']"
abiogenesis,the origin of life from nonliving matter; specifically : a theory in the evolution of early life on earth: organic molecules and subsequent simple life forms first originated from inorganic substances,noun,"['abiogeneses', 'abiogenesis', 'abiogenesises']"
acrocentric,having the centromere situated so that one chromosomal arm is much shorter than the other,adjective,"['acrocentric', 'acrocentrics']"
androgenesis,development in which the embryo contains only paternal chromosomes due to failure of the egg nucleus to participate in fertilization,noun,"['androgeneses', 'androgenesis', 'androgenetic']"
acrogeria,"a rare congenital disorder that is chiefly characterized by thinning and wrinkling of the skin of the hands, feet, and often face giving the appearance of premature aging and that results from the loss of subcutaneous fat and collagen",noun,['acrogeria']
arthrodesis,the surgical immobilization of a joint so that the bones grow solidly together : artificial ankylosis,noun,"['arthrodeses', 'arthrodesis']"
sialogram,a radiograph of the salivary tract made by sialography,noun,"['sialogram', 'sialograms']"
cardiospasm,failure of the cardiac sphincter to relax during swallowing with resultant esophageal obstruction,noun,"['cardiospasm', 'cardiospasms', 'cardiospastic']"
cardiograph,an instrument that registers graphically movements of the heart,noun,"['cardiograph', 'cardiographer', 'cardiographers', 'cardiographic', 'cardiographies', 'cardiographs', 'cardiography']"
cardiolipin,a phospholipid obtained especially from beef heart and used in combination with lecithin and cholesterol as an antigen in diagnostic blood tests for syphilis,noun,"['cardiolipin', 'cardiolipins']"
cardioplegia,temporary cardiac arrest induced (as by drugs) during heart surgery,noun,"['cardioplegia', 'cardioplegic']"
exstrophy,eversion of a part or organ; specifically : a congenital malformation of the bladder in which the normally internal mucosa of the organ lies exposed on the abdominal wall because of failure of union between the halves of the pubic symphysis and between the adjacent halves of the abdominal wall,noun,"['exstrophies', 'exstrophy']"
cytase,"any of several enzymes found in the seeds of various plants (as cereals) that have the power of making soluble the material of cell walls by hydrolyzing mannan, galactan, xylan, and araban",noun,"['cytase', 'cytases']"
cytolysis,the usually pathological dissolution or disintegration of cells,noun,"['cytolyses', 'cytolysis', 'cytolytic']"
cytozoic,parasitic within a cell —used especially of protozoans,adjective,['cytozoic']
cytosine,a pyrimidine base C4H5N3O that codes genetic information in the polynucleotide chain of DNA or RNA,noun,"['cytosine', 'cytosines']"
cytolysin,a substance (as an antibody that lyses bacteria) producing cytolysis,noun,"['cytolysin', 'cytolysins']"
exocytosis,the release of cellular substances (as secretory products) contained in cell vesicles by fusion of the vesicular membrane with the plasma membrane and subsequent release of the contents to the exterior of the cell,noun,"['exocytoses', 'exocytosis', 'exocytotic']"
cytokine,"any of a class of immunoregulatory proteins (as interleukin, tumor necrosis factor, and interferon) that are secreted by cells especially of the immune system",noun,"['cytokine', 'cytokines']"
cytopempsis,transportation of a substance into a cell and through the cytoplasm in a vesicle followed by its release to the exterior without utilization by the cell,noun,['cytopempsis']
lacrimation,the secretion of tears; specifically : abnormal or excessive secretion of tears due to local or systemic disease,noun,"['lachrymate', 'lachrymation', 'lachrymations', 'lacrimate', 'lacrimated', 'lacrimating', 'lacrimation', 'lacrimations']"
ectethmoid,either of two lateral parts of the ethmoid bone that form part of the anterior wall of the orbit,noun,"['ectethmoid', 'ectethmoids']"
lacrimal bone,a small thin bone making up part of the front inner wall of each orbit and providing a groove for the passage of the lacrimal ducts,noun,"['lacrimal bone', 'lacrimal bones']"
ethmoid,"of, relating to, adjoining, or being one or more bones of the walls and septum of the nasal cavity",adjective,"['ethmoid', 'ethmoidal']"
licentiate,a person who has a license to practice a profession,noun,"['licentiate', 'licentiates']"
lixiviate,to extract a soluble constituent from (a solid mixture) by washing or percolation,transitive verb,"['lixiviate', 'lixiviated', 'lixiviates', 'lixiviating', 'lixiviation', 'lixiviations']"
ammoniate,to combine or impregnate with ammonia or an ammonium compound,transitive verb,"['ammoniate', 'ammoniated', 'ammoniates', 'ammoniating', 'ammoniation', 'ammoniations']"
herniate,to protrude through an abnormal body opening : rupture,intransitive verb,"['herniate', 'herniated', 'herniates', 'herniating', 'herniation', 'herniations']"
lacrimale,the point where the posterior edge of the lacrimal bone intersects the suture between the frontal bone and the lacrimal bone,noun,"['lacrimale', 'lacrimales']"
lactase,an enzyme that hydrolyzes especially lactose to glucose and galactose and occurs especially in the intestines of young mammals and in yeasts,noun,"['lactase', 'lactases']"
chromatic,"of, relating to, or characterized by color or color phenomena or sensations",adjective,"['chromatic', 'chromatically', 'chromaticism', 'chromaticisms']"
crest,a showy tuft or process on the head of an animal and especially a bird,noun,"['crest', 'crestal', 'crestless', 'crests']"
dereism,thinking directed away from reality and not following ordinary rules of logic,noun,"['dereism', 'dereisms', 'dereistic', 'dereistically']"
caustic,capable of destroying or eating away organic tissue and especially animal tissue by chemical action,adjective,"['caustic', 'caustically', 'causticities', 'causticity']"
characteristic,serving to reveal and distinguish the individual character,adjective,"['characteristic', 'characteristically']"
clastic,capable of being taken apart —used of anatomical models made of detachable pieces,adjective,"['clastic', 'clastics']"
drastic,acting rapidly or violently —used chiefly of purgatives,adjective,"['drastic', 'drastically']"
